LIPID NAME,Lipid n%,CHOL %,DSPE-PEG %,FRR,Org FR,Aq FR,TFR,CHIP,Size,PDI,Populations,Chain length 1,Unsatturation chain 1,Chain length 2,Unsatturation chain 2,Pressure at FRR1 TFR20,Pressure at FRR1 TFR 18,Pressure at FRR1 TFR 16,Chip Volume,Chip Surface Area,SMILES string
POPC,100,0,0,0.5,5,5,10,IG,42.55,0.11,1,16,0,18,1,3.95,3.3,2.7,0.121,3.301,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,80,20,0,0.5,4,4,8,IG,42.37,0.1,1,16,0,18,1,3.95,3.3,2.7,0.121,3.301,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,80,20,0,0.5,5,5,10,IG,41.36,0.16,1,16,0,18,1,3.95,3.3,2.7,0.121,3.301,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,55,40,5,0.33,2.64,5.36,8,IG,41.33,0.15,1,16,0,18,1,3.95,3.3,2.7,0.121,3.301,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,80,20,0,0.2,2.4,9.6,12,ZZ,41.17,0.13,1,16,0,18,1,0.1,0.05,0.05,97.11,457.5,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,55,40,5,0.33,3.3,6.7,10,IG,41.16,0.16,1,16,0,18,1,3.95,3.3,2.7,0.121,3.301,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,55,40,5,0.33,3.96,8.04,12,IG,40.95,0.15,1,16,0,18,1,3.95,3.3,2.7,0.121,3.301,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,95,0,5,0.33,3.96,8.04,12,IG,38.51,0.11,1,16,0,18,1,3.95,3.3,2.7,0.121,3.301,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,60,40,0,0.33,3.3,6.7,10,IG,37.95,0.13,1,16,0,18,1,3.95,3.3,2.7,0.121,3.301,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,95,0,5,0.33,3.3,6.7,10,IG,37.73,0.11,1,16,0,18,1,3.95,3.3,2.7,0.121,3.301,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
